年,月,日,星期,农历年,农历月,农历日,年干支,属相,闰月,月干支,日干支,节气,节气时间,公历节日,农历节日,特殊节日,数九数伏
1970,1,1,星期四,1969,冬月,廿四,己酉,鸡,0,丙子,辛巳,,,元旦,,,
1970,1,2,星期五,1969,冬月,廿五,己酉,鸡,0,丙子,壬午,,,,,,
1970,1,3,星期六,1969,冬月,廿六,己酉,鸡,0,丙子,癸未,,,,,,
1970,1,4,星期日,1969,冬月,廿七,己酉,鸡,0,丙子,甲申,,,,,,
1970,1,5,星期一,1969,冬月,廿八,己酉,鸡,0,丙子,乙酉,,,,,,
1970,1,6,星期二,1969,冬月,廿九,己酉,鸡,0,丁丑,丙戌,小寒,2:01:39,,,,
1970,1,7,星期三,1969,冬月,三十,己酉,鸡,0,丁丑,丁亥,,,,,,
1970,1,8,星期四,1969,腊月,初一,己酉,鸡,0,丁丑,戊子,,,,,,
1970,1,9,星期五,1969,腊月,初二,己酉,鸡,0,丁丑,己丑,,,,,,
1970,1,10,星期六,1969,腊月,初三,己酉,鸡,0,丁丑,庚寅,,,,,,
1970,1,11,星期日,1969,腊月,初四,己酉,鸡,0,丁丑,辛卯,,,,,,
1970,1,12,星期一,1969,腊月,初五,己酉,鸡,0,丁丑,壬辰,,,,,,
1970,1,13,星期二,1969,腊月,初六,己酉,鸡,0,丁丑,癸巳,,,,,,
1970,1,14,星期三,1969,腊月,初七,己酉,鸡,0,丁丑,甲午,,,,,,
1970,1,15,星期四,1969,腊月,初八,己酉,鸡,0,丁丑,乙未,,,,腊八节,,
1970,1,16,星期五,1969,腊月,初九,己酉,鸡,0,丁丑,丙申,,,,,,
1970,1,17,星期六,1969,腊月,初十,己酉,鸡,0,丁丑,丁酉,,,,,,
1970,1,18,星期日,1969,腊月,十一,己酉,鸡,0,丁丑,戊戌,,,,,,
1970,1,19,星期一,1969,腊月,十二,己酉,鸡,0,丁丑,己亥,,,,,,
1970,1,20,星期二,1969,腊月,十三,己酉,鸡,0,丁丑,庚子,大寒,19:23:47,,,,
1970,1,21,星期三,1969,腊月,十四,己酉,鸡,0,丁丑,辛丑,,,,,,
1970,1,22,星期四,1969,腊月,十五,己酉,鸡,0,丁丑,壬寅,,,,,,
1970,1,23,星期五,1969,腊月,十六,己酉,鸡,0,丁丑,癸卯,,,,,,
1970,1,24,星期六,1969,腊月,十七,己酉,鸡,0,丁丑,甲辰,,,,,,
1970,1,25,星期日,1969,腊月,十八,己酉,鸡,0,丁丑,乙巳,,,,,,
1970,1,26,星期一,1969,腊月,十九,己酉,鸡,0,丁丑,丙午,,,,,,
1970,1,27,星期二,1969,腊月,二十,己酉,鸡,0,丁丑,丁未,,,,,,
1970,1,28,星期三,1969,腊月,廿一,己酉,鸡,0,丁丑,戊申,,,,,,
1970,1,29,星期四,1969,腊月,廿二,己酉,鸡,0,丁丑,己酉,,,,,,
1970,1,30,星期五,1969,腊月,廿三,己酉,鸡,0,丁丑,庚戌,,,,小年,,
1970,1,31,星期六,1969,腊月,廿四,己酉,鸡,0,丁丑,辛亥,,,,,,
1970,2,1,星期日,1969,腊月,廿五,己酉,鸡,0,丁丑,壬子,,,,,,
1970,2,2,星期一,1969,腊月,廿六,己酉,鸡,0,丁丑,癸丑,,,,,,
1970,2,3,星期二,1969,腊月,廿七,己酉,鸡,0,丁丑,甲寅,,,,,,
1970,2,4,星期三,1969,腊月,廿八,庚戌,狗,0,戊寅,乙卯,立春,13:45:42,,,,
1970,2,5,星期四,1969,腊月,廿九,庚戌,狗,0,戊寅,丙辰,,,,除夕,,
1970,2,6,星期五,1970,正月,初一,庚戌,狗,0,戊寅,丁巳,,,,春节,,
1970,2,7,星期六,1970,正月,初二,庚戌,狗,0,戊寅,戊午,,,,,,
1970,2,8,星期日,1970,正月,初三,庚戌,狗,0,戊寅,己未,,,,,,
